gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,Acute-log10(p_value),Acute-log10(padj),np_score
Gnai3,-0.298461751745924,0.1065953266297676,0.4890089943317435,0.9722618353037675,0.31068315283400516,0.0143481268628611
Cdc45,-0.183749811975736,0.5519132266723712,0.8866780359299679,0.25812919788618943,0.05223404939311527,0.0111440291777785
Cav2,0.4961556265712151,0.0044738031078721,0.0699291791882576,2.3493231331241184,1.1553415693731242,0.01
Klf6,0.105403994743357,0.6192148610898003,0.9104250807293852,0.20815862917941771,0.040755786677982,0.01
Cox5a,0.6902352121582397,0.1164165203032182,0.5115488656394801,0.9339853859452796,0.29111287404579855,0.0103932696353486
Wnt9a,-0.6234773160680505,0.3455233905368805,0.7795442196734957,0.4615225473136684,0.10815924440651031,0.0105536721037393
Fer,0.1491365953939964,0.4460556966878474,0.8414004312685087,0.35061090977672343,0.07499726971682902,0.0100944201917219
Xpo6,-0.0325147767839874,0.8622146668842259,0.9746852031666212,0.0643845937615221,0.011135626971021325,0.0101562204452094
Axin2,0.8205240301502142,0.0002934676814361,0.008920375618566,3.5324397191073094,2.049616857996528,0.0100944201917219
Gna12,-0.3355598273431413,0.1006508032855255,0.472653392173707,0.9971827546940649,0.32545722088248225,0.0108301202155801
Itgb2l,0.3109368081790005,0.452081325782913,0.8436130470818543,0.3447834320874386,0.07385671220443658,0.0121649613553924
Pih1d2,0.804846899997629,0.0893295592875182,0.4470468198098274,1.049004808622536,0.34964699024561857,0.01
Dlat,-0.2241890006267088,0.2533589768453189,0.7049191441634474,0.5962637034699357,0.15186069472132022,0.0118602421057261
Sdhd,-0.0511110380434256,0.7769655502089866,0.9536410460422567,0.1095982369079916,0.020615064560611962,0.0101823487531193
Ccnd2,-0.4793019641259028,0.0163843023158457,0.169803956280766,1.7855720472220684,0.7700521953000212,0.0101818684854679
Gmpr,-0.1387386568648231,0.6616705503754781,0.9225209391266828,0.1793581944995874,0.03502376756026275,0.0108064682554562
Glra1,0.2730482730320349,0.6545504761344038,0.9210443195496072,0.18405685688805934,0.035719471569993194,0.0104585726965431
Trim25,0.1017456442315673,0.7248694342594426,0.9404759885513764,0.13974021285961585,0.026652288016588623,0.0102232267646657
Mnt,-0.0348056966884887,0.9046381453266088,0.9811653499632886,0.04352510357265485,0.00825779738519477,0.01
Itgb2,0.391850996180197,0.5064443001064342,0.866596106718671,0.2954683123700653,0.06218326641449397,0.0126172716182684
Pemt,-1.3608599485442912,0.0592255237536575,0.3626032337235822,1.2274910899582145,0.44056832715158156,0.0105417138348951
Cdh1,-0.680407743247614,0.3314416235407073,0.7704336643665395,0.4795929523472133,0.11326474882069507,0.0145902000271604
Cdh4,-1.037501858807503,0.4588083495164535,0.8466273751743126,0.3383686872922885,0.07230769299060158,0.0104076745463394
Bcl6b,-0.5279637068810317,0.0132833293535651,0.1488795553947581,1.8766930591048443,0.8271649368271248,0.01
Alox12,0.9886587679555456,4.4483599212542765e-05,0.0020900510593429,4.3518000808030655,2.679843104070761,0.0100581731989229
Comt,0.0501932186229231,0.8109679091814255,0.9627042403631912,0.0909963309197576,0.0165071152708629,0.0126125723175666
Rtca,-0.2867638067720936,0.2797350846799732,0.7283320476437012,0.5532530605239109,0.13767058005176483,0.011557346061218
Dbt,-0.5393136237749726,0.0353622832498157,0.2703215015689042,1.4514597014988264,0.5681194088283136,0.0101931435442589
Mcts1,-0.2451877610338247,0.458824009795177,0.8466273751743126,0.33835386398627415,0.07230769299060158,0.0101958739111579
Rem1,-0.1339205908149421,0.909719772207437,0.9821239374352508,0.0410923660595173,0.007833703712144422,0.0108660779151198
Trappc10,-0.0437079647007851,0.8367054022592113,0.9691768043451694,0.07742742694617352,0.013596988535197285,0.0106231834592486
Ccm2,0.0598461036568344,0.7562854732113733,0.9494994887598828,0.12131424148506435,0.022505264764585156,0.0109898832326054
Tmprss2,0.1581900184789256,0.7303969424427685,0.942094683627846,0.13644105349540736,0.025905446983498486,0.01
Ndufa9,0.0362120056145947,0.878538481774026,0.9774858524741544,0.056239210769609436,0.009889519596413458,0.0108168090620667
Cttnbp2,0.150536559313032,0.4972351272909885,0.8633079376804527,0.3034381981121295,0.0638342659520746,0.010312068644922
Pparg,1.614488533057357,0.039864660854523,0.290337565420158,1.3994119262811657,0.537096769200314,0.0139909463669548
Raf1,0.092705552225414,0.5753754648977718,0.8951000175070858,0.240048661192116,0.04812843437735492,0.0113038640533444
Pdgfb,0.335728839228302,0.0817871396697317,0.4271167771773079,1.087314980064107,0.36945336912006677,0.0103811309016782
Acvrl1,0.1402429734568085,0.4089645740614386,0.8191801940147252,0.38831431046693193,0.08662055653193705,0.0110990694866435
Tamalin,0.7168353334735156,0.005894001004767,0.083716543303654,2.22958979445068,1.0771887121912274,0.01
Acvr1b,0.0407735095917649,0.9141797456530704,0.9832105562327772,0.038968405064354096,0.007353467297117037,0.01
Tom1l2,0.2563822723906407,0.2195014260743736,0.6700827662278751,0.6585626538536623,0.17387155148414532,0.0107713977636251
Itga5,-0.7741947481079022,1.3209068859408467e-05,0.0007595707469863,4.879127795820269,3.119431769405091,0.0119969871154538
