gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj),np_score
Gnai3,-0.0042488070049265,0.9813569492387442,0.9984847337103956,0.008172997830697777,0.0006585708694119499,0.0143552747817885
Cdc45,0.0488523741631175,0.908633258451776,0.9915306140522956,0.0416113708696917,0.0036938721710079096,0.01181813301388
Cav2,0.270667829821178,0.1966773240458439,0.7704295155086723,0.7062457092695607,0.11326708754369323,0.01
Klf6,0.0795390615864929,0.6674416381773812,0.9580081636905622,0.17558670348493813,0.018630790054381705,0.01
Cox5a,0.3942336143136145,0.4033425321721858,0.8895500420038552,0.394325979545203,0.050829615477945116,0.0103932696353486
Ngfr,-0.4653946086343591,0.6387573690033702,0.955226802383994,0.19466407660432977,0.01989350032257281,0.0146635466398201
Wnt9a,-0.1088563635569444,0.8949939015154789,0.9893980957684074,0.048179923954701484,0.004628929830002894,0.0105536711657264
Fer,0.0467138207348133,0.8340333786718753,0.9832377992961232,0.0788165682076681,0.0073414339151583385,0.0100939408734546
Xpo6,-0.5774277350477729,0.0054177867271901,0.1543900112347233,2.266178095099736,0.8113808011892096,0.0101562190898959
Axin2,0.146772688180361,0.577195592342378,0.9432106337230004,0.23867699398306894,0.02539131166488783,0.0100939408734546
Gna12,-0.5651110704077108,0.0052586068895889,0.1515039444494989,2.279129293925754,0.8195760600306438,0.0108367024058801
Itgb2l,0.5034064582595239,0.4392833619725573,0.9008696265942449,0.35725524549485815,0.04533805535562132,0.0122903454782802
Pih1d2,-0.2768947095353998,0.7183945613669344,0.9665950774164788,0.1436369641710279,0.01475542092515787,0.01
Dlat,-0.2071340647905405,0.3060466196083699,0.8501266674079752,0.5142124130722905,0.07051636033529761,0.0118602421057261
Sdhd,0.3825583631075916,0.0531749042051912,0.499646447007172,1.2742932838078254,0.3013371965162576,0.0101823487531193
Ccnd2,0.001527546808784,0.9949274914080456,0.999916297992402,0.002208568730475336,3.635284144816451e-05,0.0101818701263577
Nalcn,-0.0101988543968916,0.9908810751644264,0.9998391924665904,0.003978466099113004,6.984344023447095e-05,0.01
Gmpr,0.2914671793235759,0.3911412013439783,0.8838145282328077,0.4076664346899409,0.05363886373833108,0.0109989813128793
Glra1,-0.1289682154175788,0.8761031210513892,0.9881537248865794,0.057444772521649326,0.005175487925828165,0.0104585726965271
Trim25,-0.2807648119792819,0.2197438308211483,0.79301060567807,0.6580833086452798,0.10072100441422166,0.0102232610583999
Mnt,-0.2303059220117107,0.3799767686199938,0.8804550231341977,0.42024295487940244,0.05529282448209505,0.01
Itgb2,-1.369865893376227,0.023774975726111,0.3406573072784893,1.6238799177983898,0.46768229077951196,0.0127446525151972
Pemt,0.301925178465678,0.7440979883763827,0.9699612514878772,0.12836986954955507,0.013245614807079416,0.0105417138348951
Cdh1,-1.6250236865088776,0.0205473936077904,0.3157248039361764,1.6872432596051112,0.5006912977737403,0.0134466173266151
Cdh4,-0.3624057695280424,0.3652578928114517,0.876850840039789,0.4374003906779246,0.05707427762266371,0.0104068102665933
Bcl6b,0.0582903522922795,0.8503303172186758,0.9864009291293862,0.07041233654610403,0.00594652733327435,0.01
Alox12,0.6589757307339763,0.0074631592635437,0.1920691217364889,2.1270772904524735,0.716542449492057,0.0100581732197615
Comt,0.1351000342004276,0.552205730742699,0.935970114919394,0.25789909060328065,0.02873801785676837,0.0126131074213468
Rtca,0.2708301458316897,0.4330606183293605,0.9008382388120836,0.3634513083502563,0.04535318715457156,0.0115573460609868
Dbt,0.1177999522081821,0.673914713023753,0.9585673863122252,0.17139506193179063,0.018377351252414662,0.0101931435442589
Mcts1,0.2174394484597203,0.4947107050455896,0.9173687742758552,0.30564869183528043,0.037456046622268965,0.0101958667443042
Rem1,0.1019010258375171,0.7734628980880766,0.974786149675392,0.1115605139517795,0.011090650150303414,0.0110220683860685
Trappc10,-0.2071340177398273,0.3706296028176238,0.8788116726540293,0.4310598957918103,0.05610418327682607,0.0106231834592486
Ccm2,0.2398252489094844,0.3041922832383956,0.8492637792014649,0.5168518073424916,0.07095739802565387,0.0109902453042641
Tmprss2,-0.0931881563108748,0.8495221072867275,0.9864009291293862,0.07082531491417139,0.00594652733327435,0.01
Ndufa9,0.2386684457127084,0.415250472629222,0.895832162080908,0.3816898645715799,0.04777334961233309,0.0108168090620667
Cttnbp2,-0.5321579394853916,0.0361197891761462,0.4211529170141439,1.4422547932395828,0.37556018692600124,0.0102994949163706
Raf1,-0.023526844200513,0.9098081661277296,0.9915306140522956,0.0410501694094541,0.0036938721710079096,0.0113076399909767
Pdgfb,0.0779852729578566,0.7161723619928476,0.9665950774164788,0.14498244298007834,0.01475542092515787,0.0107056611939297
Acvrl1,0.4260027680263019,0.0233419684354094,0.3376176676871204,1.631862522558468,0.47157483462263955,0.0110977497489898
Tamalin,0.4007795691206847,0.0763748484725672,0.5850552297705505,1.1170496383872708,0.23280313417012494,0.01
Acvr1b,-0.4940105243599259,0.3573374232246256,0.8726988631862335,0.44692149863421265,0.0591355897629304,0.01
Tom1l2,0.0366579578711066,0.852286295657516,0.9869236346465532,0.06941449474192478,0.005716450506337219,0.0107715534443751
Itga5,-0.0549055000317277,0.7892569838372896,0.9752816895684556,0.1027815665107172,0.010869929371854771,0.0119685233701059
Wdr77,0.1061246809477622,0.7025704600960099,0.9629348394028008,0.15331011427498684,0.016403100046031148,0.0102665329871807
Atp5pb,0.2311253439637076,0.3016487678272485,0.8476297835169581,0.520498444346979,0.07179379170898266,0.0103623581328619
Sox9,0.2587893713542333,0.418700998205023,0.8959635707038881,0.3780960037268337,0.04770964811009947,0.0102266827852154
Hnrnpd,-0.2641644178565904,0.2547173142683387,0.8229969457361358,0.5939415331061718,0.08460177651604586,0.0105373126670601
C1d,0.121252560355116,0.604891020171346,0.9491594739318182,0.21832286270537926,0.022660813041631124,0.01
Gm2a,0.1405746622950588,0.503596236339567,0.9204727260775486,0.29791752428114426,0.03598907526371793,0.01
Krit1,-0.1690829390829678,0.4639661012649194,0.9070165221605158,0.33351374912484666,0.04238480178468245,0.0119073313487676
Hk2,-2.182530661528941,0.0015381976756975,0.0681021812745965,2.8129878492237403,1.1668389776562367,0.0103486702714013
Cd52,-1.6968498233464335,0.0334293282328138,0.4083943421942238,1.4758723505301774,0.3889202831640907,0.0104257620657
Loxl3,-0.3898106690156416,0.2842621033990476,0.8377235816878633,0.5462810347228594,0.07689925911559836,0.01
Kat2b,-0.0461228939436904,0.8679233189230422,0.9880203775175228,0.061518643071976006,0.005234098173351425,0.0103364950900377
Rab5b,0.4476503093810045,0.1201592121147675,0.6797859708919255,0.9202429280041101,0.16762780242888173,0.01
Spg7,0.1680155655223015,0.5393765267752952,0.9298695383960104,0.26810795761205264,0.03157797911183517,0.0138823529411764
Rpl13,-0.0708477823672118,0.8642222152853775,0.9880203775175228,0.06337457411383157,0.005234098173351425,0.0102502574048555
Chmp1a,-0.0088816598591439,0.9699700134197352,0.9980891202700848,0.013241691721013815,0.0008306784385857858,0.0107192985770578
Rpa1,0.2297949953754794,0.3801602043473263,0.8804550231341977,0.4200333475887589,0.05529282448209505,0.0108363287285878
Serpinf1,-0.9841452705463172,0.0075298017387784,0.1928342853788806,2.123216458711394,0.714815747263664,0.01
Tubgcp3,0.0318833775940823,0.8864863296122312,0.989260141421634,0.05232795720886135,0.004689488859884109,0.01
Polr3d,0.1338599575833864,0.6536274944243983,0.9578524677212378,0.18466968777053494,0.01870137754845344,0.0100851511171718
