Gene,Betweenness Centrality
Akt1,0.13986039580064638
Ctnnb1,0.1317474903223111
Rps11,0.08075881485895484
Cd44,0.060150926939492116
Pparg,0.05305387289327647
Cdc20,0.05176552766960528
Prkacb,0.051725744172065685
Prkaca,0.05123050995042728
Traf6,0.04104023916517717
App,0.040683569801618844
Trp53,0.03660985645293455
Tgfb1,0.030869069166842397
Mapk14,0.030033332036668227
Polr2e,0.029461166564811
Htt,0.027515551014703397
Gnai3,0.02705008800747329
Med1,0.026054935282808885
Kat2b,0.025740074932110654
Hk2,0.02537893579976187
Sod2,0.024693608472402255
Rpl13,0.023525329563323687
Ddx3x,0.02228402628081207
Mrpl4,0.02224654630062146
Stx1a,0.02169166646620926
Dnmt1,0.021532054073325976
Ndufs3,0.02130045449219469
Cs,0.0203572935538158
Hmox1,0.020272241412056906
Ppargc1a,0.020007786818686916
Snrpd1,0.019726785290163765
Rab8a,0.019590213438142465
Cd74,0.018770543317461724
Il4,0.01823334464628828
Calr,0.018182300847315893
Cdk4,0.017823062981720265
Ccl2,0.017810671272664978
ND1,0.017454655215457367
Ranbp2,0.01712039941960034
Ppp2r1a,0.017062537877078277
Ikbkg,0.01702484833799262
Rpa1,0.01630722585168643
Igf1r,0.01612829885897615
Aprt,0.016059628517621886
Plk1,0.015315011125560224
Rps6,0.01513201135644306
Cox5a,0.014854290929837262
Mrpl2,0.01481089370498901
Cdh1,0.014499346104976173
Rps27a,0.013882821433436594
Th,0.013498434330500044
Sp1,0.013461197964220885
Psmd2,0.013375500040337471
Kit,0.012433952337190898
Neu1,0.01200363375296169
Brd4,0.011937098336724197
Nob1,0.011895592863169397
Sdhd,0.011852737227721101
Pabpc1,0.011843930138782094
Kctd10,0.01176851092311564
Aox1,0.011649005351422092
Msh6,0.011268733934792812
Rem1,0.011263211009616622
Crnkl1,0.011038440053287607
Ykt6,0.01103500279722022
Gart,0.010935374403975753
Brca1,0.01093085317107588
Cct3,0.010842720087296436
Itgb1,0.010594401253963662
Ftcd,0.010562460641040711
Smo,0.01050157471419709
Aldh1a1,0.01038575066139291
Qars1,0.01022488039234111
Ngfr,0.010135209195028458
Smpd4,0.009891250773008089
Emg1,0.009849399986170427
Kpnb1,0.009769791463924564
Gsk3b,0.009741626213219008
Cwc15,0.009653648582437967
Col1a1,0.0095328799546448
G6pdx,0.009239847046706932
Ercc1,0.009216537142319486
Gpx6,0.009200687294983113
Got2,0.009149425332191178
Xpo1,0.00908272583974666
Vav1,0.009036484833715303
Ulk2,0.008926322109106126
Stat3,0.00883323245889117
Psmb4,0.008821755617750532
Atp5f1a,0.008817031324977688
Csnk1e,0.008782190128738043
Ptpn6,0.008716821108571872
Il6,0.008715582522210682
Ank1,0.008711175188749877
Actr2,0.00860332497740325
Eprs1,0.008564221710245304
Pcnt,0.008368033458585286
Ap2m1,0.008176322977432123
Cdt1,0.00814025816836412
Lpin1,0.008098127264990406
Spi1,0.008091886688496782
Ift46,0.007986144060704593
Ubxn7,0.007965154063682747
Rps27rt,0.007938088443836961
Glb1,0.007908201801403445
Agpat3,0.00786658621137325
Lbr,0.007779340251997836
Pex6,0.007659700154499571
Map2k1,0.007597286039969452
Rhoa,0.007576396897448573
Gys1,0.0074664126207421065
Smarcb1,0.007464170489780805
Suclg1,0.007416095247691228
Cdc45,0.007385970574645594
Bid,0.007357391274294879
Uba1,0.0073194351423090135
Atp5f1c,0.007293240374392987
Sst,0.007258307905753907
Gna12,0.0072475750163065325
Peds1,0.00721047453711917
Irf3,0.0071800241283896974
Smad3,0.007148316917300733
Fyn,0.007143531886293526
Ddx18,0.007117728275973846
Apoh,0.007100462822456291
Ncoa2,0.007072711981794569
Lipe,0.007047121878803303
Ccl11,0.007046519059689526
Dnajb1,0.007044020793304831
Jun,0.007003090233028912
Flt3l,0.006989458650463299
Emd,0.006911997677245822
Ocrl,0.00682342477854831
Nt5c1b,0.006809990717099124
Pla2g4a,0.00680095171840656
Vcl,0.006776569911052443
Rec8,0.006650322578990695
Ctsb,0.006646757009296003
Ercc3,0.0065631298216259504
Gapdh,0.006524379199752441
Hsp90ab1,0.006488791910125956
Ep300,0.006425140278011801
Dbt,0.00636497545911951
Eftud2,0.0063154146253509525
Cyp2c29,0.006220768894708795
Shh,0.006176159224388716
Pde3b,0.0061489779215133464
Actn3,0.006130238340366025
Hspb1,0.006129432881044096
Rela,0.006127241021664814
Gstt1,0.006103181061253465
Actb,0.0060773129362229
Slc4a1,0.0060690066100406205
Sec24b,0.006047989503665582
Ift88,0.00604272263240824
Ralb,0.006041042408592893
Med29,0.005978565599759706
Raf1,0.005928531113162714
Bcas2,0.0057413686105795905
Ggt1,0.005563845475714803
Ube2m,0.005543917092658148
Ptgs2,0.005533916516717055
Por,0.005481469367588006
Kmt2a,0.005456697639653783
Snx4,0.005423739636006127
Fgfr4,0.005387000147071254
Alb,0.005371392308551197
Tinf2,0.0052311183706363635
Hspa1b,0.005177089464544904
Flot1,0.005176527942273267
Itgb2,0.005173139211565976
Wnt3,0.005138389915911673
Snx6,0.005112131000707625
Galc,0.005090701073508149
Ugt8a,0.005090701073508149
Rdx,0.005005710560461154
Egfr,0.005004808745794441
Bud23,0.004964382794391196
Tgfbr1,0.0049634228893276405
Pkm,0.0049164229241236215
Pole,0.004900426260142587
Tlr4,0.004870537533998653
Tnf,0.004864126140001339
Grin2d,0.004860976302376746
Sf3a1,0.004849386450530472
Pip4k2a,0.0048259430077761895
Foxo3,0.004804526832391526
Napa,0.004735624353233805
Cd79a,0.004712858417834029
Med25,0.004699767495039971
Src,0.0046730469876788
Srm,0.004665057579533138
Phb2,0.004609955754360643
Sin3b,0.004588866427158714
Uba52rt,0.0045452741178082096
Hdac1,0.004529893196097203
Atp6v1f,0.004509132770287945
Jup,0.004479058560298949
Rhoc,0.0044360539772385086
Akr1b7,0.004424155739943501
Nt5e,0.00441864123892934
Ndufa11,0.0043981856224443805
Il7r,0.004394694892801706
Calm3,0.004345211862924351
Kptn,0.00433941482263905
Ncstn,0.0043118283190588065
Bloc1s6,0.004308761981856447
Cdc25c,0.004298243751259265
Ruvbl1,0.004293263017996515
Ruvbl2,0.004293263017996515
Rbx1,0.004254794730566733
Skp2,0.004254529126687656
Eif3g,0.004253922375360146
Alox12,0.004241114198439364
Ace,0.004212160583665401
Bdnf,0.0042055677296703575
Acat2,0.004152585954747571
Csnk1d,0.004142159040844532
Sox9,0.004140891927676924
Plxna3,0.004138229794499342
Brca2,0.0041291645194926905
Paxip1,0.004108943494595408
Stk11,0.004099861041691407
Bcl2,0.0040962844683745765
Epor,0.004013557671996925
Trim28,0.00400280266503224
Prpf6,0.003996173809232442
Kdm5a,0.003981730767394147
Atp6v1b2,0.003967402021649326
Crkl,0.003955036897922451
Sec22b,0.0039481442751459605
Braf,0.003934479873729577
Pten,0.0039218622783337735
Brd8,0.003915902840996701
Chmp2b,0.003910873237682602
Snu13,0.00390863170604238
Polr2f,0.0039054905251779564
Cyp7a1,0.0038993804894717704
Scnn1g,0.0038933504505924677
Fasl,0.0038879387115256484
Mcm7,0.003858495881709817
Utp20,0.0038537558695349197
Tyr,0.003847964362026293
Cyp51,0.0038106204306437227
Fancl,0.0037965681914309875
Slc2a4,0.0037956804367352604
Csf3,0.0037846622009319476
Adh1,0.0037312581336720625
Pvalb,0.003724226534009121
Il27ra,0.0036827747912451417
Palb2,0.0036824693499035344
Supt6,0.003671890523652549
Fxr1,0.0036679313703059466
Scrib,0.003639815390167105
Grb2,0.003637746938539477
Hspa8,0.0036376484208651303
Snf8,0.003604024783326817
Tat,0.003586605185759491
Med12,0.0035755649733962775
B9d2,0.003562402541644411
Eno2,0.003528263938265164
Ap4e1,0.003517819662104237
Nphs1,0.0035169754469055055
Snca,0.003481308611161515
Etfb,0.003479228021305236
Lsm2,0.0034729181862565477
Hspa1l,0.003433001090292093
Serpinb9b,0.0034171299887157305
Snw1,0.003402265262710024
Cdc73,0.003393511436591708
Cd244a,0.00338388150041162
Polr2c,0.003372264253489284
Acvr1b,0.003361934418799103
Cdc42,0.0033605932005676188
Esr1,0.0033586642634019547
Map2k7,0.003326747213689697
Tert,0.003315920301288664
Chrd,0.0033086536657145767
Top3a,0.0032979502621302823
Mthfd2,0.003277127719647353
Cbl,0.003275476936372051
Naca,0.0032342404681083006
Eif2ak4,0.0032169756643989126
Adh5,0.0032166377281716324
Tsg101,0.003214006698775872
Gtpbp3,0.0031975103259486155
B4galnt1,0.003196475914073864
Ppp2cb,0.0031917413620189995
Ppp2ca,0.0031917413620189995
Rnd1,0.003155767853647241
Gm10053,0.0031406258829891356
Timm44,0.0031094881937465298
Hras,0.003054242692267361
Gtf2f1,0.003028877251073395
Creb1,0.0030215028090913487
Baz1b,0.003016833003387717
Lpcat3,0.0030142327520672084
Pola1,0.0030037959656335537
Smg5,0.002995328315016408
Fgf23,0.002987398208708022
Atp5po,0.0029326557990390204
Rac2,0.002898408607077994
Efna2,0.002884214759516486
Nedd1,0.002875327681080698
Cp,0.002875327681080698
Txn1,0.002875327681080698
H3c8,0.00284046290473965
Hsp90aa1,0.0028385448754009134
Ap2a2,0.0028374136151603237
Ezh2,0.0028306366680651714
Tgfbr2,0.002828870605254181
Nqo1,0.0028113758561322216
Mecp2,0.0028109805540083074
Rps3,0.0027969105899141016
Aldh3a1,0.002772058491970474
Nmrk2,0.00272212587306
Plin2,0.0026986708122316116
Crebbp,0.002698257332461141
Ctcf,0.002691137001015446
Ncr1,0.0026827853615177862
Tph2,0.0026728915012210553
Carm1,0.002671932164627411
Il17ra,0.0026491856428115875
Skp1,0.0026458135420036645
Chmp2a,0.0026369344449320344
Vps54,0.002634155503102281
Kdm1a,0.0026198669404761525
Atp6v1b1,0.0026154863869199203
Itgb7,0.0026045169382113292
Pafah1b3,0.0026029434224842203
Il1b,0.00258782375461714
Sfrp4,0.0025704102984909914
Atm,0.0025653503527842425
Txnrd3,0.0025578148821660146
Atp7b,0.0025578148821660146
Tubgcp3,0.0025578148821660146
Ebf1,0.0025562841730803376
Tfip11,0.0025562841730803368
Runx2,0.002554054862188237
Hip1r,0.0025361422771090726
Ift20,0.0025284223375970877
Ncoa6,0.002527640839331717
Drd2,0.0025271539072897666
Foxo1,0.0025190475814860615
Pafah1b1,0.0025183106377025697
Babam1,0.0025073925911090725
Klc4,0.0024950443777270433
