Gene,Closeness Centrality
Akt1,0.30007687181610865
Ctnnb1,0.2960455202187882
Pparg,0.2786122301266994
Trp53,0.276760533733344
Prkaca,0.27592452140245644
Prkacb,0.2755888468022102
Mapk14,0.27191044756027555
Cd44,0.2692346471017551
Traf6,0.2678340412289155
Tgfb1,0.2674040701537097
Cdh1,0.2654115100658646
Sp1,0.2652250644773764
Rem1,0.26466729609241135
Rps11,0.2646549278837992
Foxo3,0.2625203171457572
Stat3,0.26220430583755816
Gsk3b,0.2614538018459637
Itgb1,0.26092378722807735
Med1,0.2598821036061591
Rela,0.2596200055829017
Ddx3x,0.2589433863008284
Ikbkg,0.25887236832222965
Ep300,0.2585178619521349
Jun,0.25811726000571616
Src,0.25758895668995807
Sirt1,0.2568063665617113
Rhoa,0.25643426768328814
Igf1r,0.25638783112795593
Smad3,0.25570484024676804
Crebbp,0.2554971939811161
Csnk1e,0.25497955075347434
Tnf,0.2540986540643135
Il6,0.253802581419083
Mapk3,0.25367752751558426
Egf,0.25357530230972597
Actb,0.2534958507580421
Kat2b,0.25286202624393533
Foxo1,0.25277173853092694
Creb1,0.2522763063737992
App,0.25216397888532077
Ppp2r1a,0.2518723950093582
Hras,0.2517828125099106
Esr1,0.2517380451520389
Cdc42,0.25161501696220984
Kras,0.2514921089651147
Rpl13,0.2514139572842679
Raf1,0.2509905513998147
Ccnd1,0.2509127110799441
Mrpl4,0.25087936572098074
Fn1,0.2505574835988771
Mmp9,0.2502253701137904
Hspb1,0.25019220718260377
Egfr,0.250159053040568
Hsp90ab1,0.2500706849377586
Ar,0.2500596433144392
Vav1,0.2499823792445561
Rps6,0.2498279942558304
Ppargc1a,0.24972884741976448
Cbl,0.2496958159598527
Myc,0.24964078294037817
Braf,0.24946484018083953
Smad2,0.24926720078280895
Gapdh,0.2491027403468405
Il1b,0.24868707687987612
Mrpl2,0.24851247539538457
Grb2,0.24838168509211958
Hsp90aa1,0.24824015086286574
Sod2,0.2481313880908438
Irf3,0.24787074587646263
Iqgap1,0.24768645535908237
Pten,0.2474483681472198
Casp3,0.24694125759943397
Shc1,0.24690895940120408
Notch1,0.2466079164722586
Smad4,0.24629689491977988
Pik3ca,0.2462540569521445
ND1,0.24624334978848725
Pik3cd,0.2462005304432213
Mapk1,0.24610424134301315
Vegfa,0.24604009044162908
Scrib,0.24580515632749214
Rac1,0.24564523104686264
Pkm,0.2455600226243515
Hif1a,0.24554937572777571
Cd74,0.24552808470412812
Rps27a,0.24541105004053468
Pik3r1,0.24531537736227232
Ins1,0.24514547665939826
Ins2,0.24514547665939826
Brca1,0.24509243094237324
Xpo1,0.2449016562934235
Igf1,0.244848716030498
Dnmt1,0.24475348121290544
Cav1,0.24444711678977116
Snai1,0.24443656617831666
Itpr1,0.24438382677938286
Pik3r3,0.24436273739150063
Bdnf,0.24425734502654267
Zeb1,0.24422574504227948
Pik3r2,0.2441520435327392
Pik3cb,0.2441520435327392
Skp2,0.2440363167055379
Foxo4,0.24402580152470782
Hmox1,0.24394171268889642
Cdk4,0.2437737087545377
Map2k1,0.24373174392259506
Ywhaz,0.24367930819609393
Tlr4,0.24365834022223545
Nfkbia,0.24357450439918363
Stat1,0.24344885877941017
Hdac1,0.24338608456682365
Fyn,0.24330243595761564
Map3k5,0.24326063321100547
Tert,0.24312487343459338
Vcl,0.24301011807704007
Mki67,0.24276011838421785
Akt1s1,0.24257295591662392
Cdc37,0.2424275845120251
Mdm2,0.24236533580628314
Rps6kb2,0.24216842563009577
Ptk2,0.24212701161972722
Pde3b,0.242085611771626
Ccl2,0.24199251385657475
Rps6kb1,0.24199251385657475
Tgfbr1,0.24197183515425844
Lck,0.24197183515425844
Runx2,0.24182718313273063
Kit,0.24179620876891036
Ppp2ca,0.2417549219578852
Ppp2cb,0.2417549219578852
Nob1,0.2416930181711087
Psen1,0.24166207816451543
Arhgdia,0.24162083714260074
Hk2,0.2414560137192675
Pxn,0.24140455250577234
Ncoa2,0.24137368630547754
Calm3,0.2411783835186704
Slc2a4,0.24116811317912615
Lyn,0.2411475751239267
Mtor,0.24095263792483912
Bad,0.24065570908024556
Nfkb1,0.24065570908024556
Ruvbl2,0.24062503406634173
Ruvbl1,0.24062503406634173
Rptor,0.24045135659089792
Arrb2,0.24044114807614075
Atf2,0.24041052773211438
Bcl2,0.24026773585276054
Gsk3a,0.24014547775030398
Atf4,0.23957658114917801
Nfe2l2,0.23950565853782538
Erbb2,0.23942465552487607
Nr4a1,0.23913147835094453
Ncoa3,0.238980116540865
Cdc20,0.238980116540865
Vav3,0.23879873510648586
Creb3l4,0.23864779409992917
Hspa5,0.23828631303005926
Sox9,0.23828631303005926
Carm1,0.23799591535490916
Smarca4,0.23791593017078722
Csnk1d,0.23790593580279012
Kdm1a,0.23762643401105268
Foxp3,0.23737743322094973
Gm10053,0.23734758818932228
Ezh2,0.23730780648587552
Myd88,0.23728792063457574
Met,0.23725809810579887
Akt3,0.23712895372379597
Akt2,0.23712895372379597
Brd4,0.23707932023549141
Naca,0.23705947265740557
Arrb1,0.23701978746904742
Nr5a1,0.23697019966464783
Irs1,0.23682156066678176
Irs2,0.23681165802991508
Stat5a,0.23669289095103518
Pecam1,0.23664343982055067
Ulk2,0.23654459952324028
Ngfr,0.23642610009958331
Pou5f1,0.2363767603733636
Smarcb1,0.23632744123624683
Prkcz,0.2362091592336261
Rock1,0.23614021606076882
Ikbkb,0.23611068130515378
Lipe,0.23611068130515378
Uba52rt,0.23610083802832446
Lep,0.23605163395237658
Pik3cg,0.2360417955981086
Plcg1,0.23603195806390842
Flot1,0.23599261612573627
Appl1,0.23597295007439245
Hsp90b1,0.23593362780309193
Rabif,0.23591397158149707
Cdc73,0.2359041446988553
Nos3,0.23588449338937145
Gnai3,0.23583537943638788
Mapk13,0.23578628593136344
Mapk12,0.23578628593136344
Mapk11,0.23578628593136344
Cdh2,0.23569796911043028
Cttn,0.23566854487060124
Hcls1,0.23566854487060124
Med12,0.23556071881646365
Rac2,0.23551173958437305
Plk1,0.23545299138508374
Nherf1,0.2354432028679396
Pak1,0.23541384219916944
Foxm1,0.2353844888522618
Ncf4,0.23536492402067236
Trrap,0.23536492402067236
Nanog,0.23529647271533585
Gli1,0.23528669720753714
Cdkn1a,0.2350523284546119
Shh,0.2350328187991957
Cdkn1b,0.2350328187991957
Cdc25c,0.2348476384733742
Nf2,0.23482816278083588
Twist1,0.23482816278083588
Map3k8,0.23475029230198627
Ccn2,0.23467247345068656
Tsc1,0.2344975695327489
Pxdn,0.23445873739538062
Chuk,0.23445873739538062
Tbc1d4,0.23443932614916665
Wnt1,0.23434231811087097
Becn1,0.23431323135231355
Mapk8,0.23427446023766935
Skp1,0.2342550794914551
Dnajb1,0.2341969564876941
Emg1,0.2341969564876941
Gart,0.23416790580051347
Mapk10,0.23416790580051347
Mapk9,0.23416790580051347
Prom1,0.23406144824704161
Muc1,0.23402276040435613
Rpa1,0.2339550874451778
Was,0.233935759502062
Bcl2l1,0.2337909016589093
Parp1,0.23378125084769533
Tbx5,0.23361730887655388
Rbpj,0.23361730887655388
Cyct,0.23353060912067208
Cebpa,0.2334535966769207
Esr2,0.23343435150181027
Rps3,0.2333574025211347
Il4,0.23334778746540663
Map2k4,0.23333817320198666
Fhl2,0.23327089553445174
Mapkapk2,0.23320365665165405
Pik3r5,0.23318445266131754
Pik3r6,0.23318445266131754
Mdk,0.23312685966267727
Foxo6,0.23308848013274966
Zhx2,0.2330213463539096
Calr,0.23298300155444376
Araf,0.2328297484700468
Fgf2,0.23273406763316426
Smad7,0.23270537871493688
Ocln,0.2326766968687518
Mycn,0.2326575795655829
Fkbp5,0.23246657917188324
Stub1,0.23246657917188324
Htt,0.23233306538338608
Hdac2,0.23229494675083753
Cyba,0.2322663659838994
Runx3,0.2322377922490535
Cybb,0.23222826923301015
Hspb2,0.23222826923301015
Ncf1,0.23222826923301015
Ncf2,0.23222826923301015
Khsrp,0.23222826923301015
Chd8,0.2322092255437049
Yap1,0.23214259722025818
Ptpa,0.23202846614984507
Lmna,0.23191444724756013
Tcf3,0.2317815667424662
Mef2c,0.2317815667424662
4930544G11Rik,0.23177208110437564
Ogt,0.23169622394081818
Jup,0.23167726740787148
Exoc5,0.231516262030309
Alb,0.23150679809448632
G6pdx,0.23137438418864317
Rara,0.2312987870853755
Notch4,0.23117604709712705
Wasl,0.23117604709712705
Rbbp5,0.23116661095495405
Mlst8,0.2311383071498416
Nos1,0.23110057952278704
Smo,0.2310911495403525
Kdr,0.2310817203274612
Itgav,0.2309027113705475
Pias4,0.2308744721477953
Pfkfb2,0.2308744721477953
Ctla4,0.2308086074819831
Eif3g,0.23078039127079947
Kmt2d,0.23071458026583366
Ash2l,0.23071458026583366
Afdn,0.2306582006999315
Ncoa6,0.2305173722641411
Pabpc1,0.23049860813127465
Il7r,0.23036734468700856
Fos,0.2303111346801716
Tsc2,0.23018944038472622
Fgfr1,0.23018944038472622
Ctnnd1,0.23017072959908225
Mcts1,0.23010526579657967
Got2,0.23007722127911512
Hnf4a,0.22995577398836362
Nr5a2,0.22995577398836362
Pax8,0.22993710116871371
Dock1,0.22992776589604233
Xiap,0.2299090976245451
Map2k2,0.22972258150267386
Kdm3b,0.22967599974796896
Kdm3a,0.22967599974796896
Ncoa1,0.22946196676736838
Rps27rt,0.2294247843542807
Ptpn6,0.22935974411896237
Ccm2,0.22932259482448247
Gnrh1,0.22932259482448247
Map3k7,0.22930402468966793
Serpina1c,0.2292483323261585
Tjp1,0.22919266700871788
Tcl1b4,0.2291462998901646
Ptpn1,0.22912775829531976
Gys1,0.22910921970085435
Tcl1b1,0.22909068410604017
Tcl1b2,0.2290814174332748
Tcl1,0.2290814174332748
Mtcp1,0.2290814174332748
Nkx3-1,0.22905362191245374
Pdpk1,0.22905362191245374
Noxo1,0.22905362191245374
Tbc1d7,0.22905362191245374
Mapkap1,0.22905362191245374
Ilk,0.22905362191245374
Trib3,0.22905362191245374
Phlpp1,0.22905362191245374
Them4,0.22905362191245374
Anxa5,0.22905362191245374
Plek2,0.22905362191245374
Rictor,0.22905362191245374
Eif4ebp1,0.22905362191245374
Amotl1,0.22905362191245374
Nox1,0.22905362191245374
Rheb,0.22905362191245374
Casp9,0.22905362191245374
Ptk6,0.22905362191245374
Nos2,0.22905362191245374
Plek,0.22905362191245374
Noxa1,0.22905362191245374
Crtc2,0.22905362191245374
Zfp36l1,0.22905362191245374
Phlpp2,0.22905362191245374
Hspa1b,0.22904435823770194
Men1,0.22898879192080782
Kptn,0.22897953348908012
Tlr2,0.22892399861697801
Coro1c,0.22881300964750592
Ulk1,0.22879452194826563
Emd,0.22878527921893105
Rap1a,0.22878527921893105
Rap1b,0.22878527921893105
Rock2,0.22877603723633283
Col1a1,0.22876679600038047
Axin1,0.2287575555109835
Cul1,0.22872060101714062
Gm28635,0.2286651916576662
Ctnna1,0.2286559593744113
Lrp6,0.22854523009626387
Smurf2,0.2284530375871488
Flot2,0.22841618140620387
Mecp2,0.22834250470870973
Ezr,0.22832409296022493
Cdh5,0.22817690579312727
Cdh3,0.22812175951765964
Apc,0.2280207272128445
Slc9a1,0.22800236731693782
Gab2,0.22796565639356836
Polr2e,0.2279564805097979
Cd4,0.22792895729003176
Snai2,0.22789227000062046
Ccl11,0.22789227000062046
Ptprf,0.22784642749378092
Cct3,0.22780976676530246
Ctnna2,0.2278006034264679
Ctnna3,0.2278006034264679
Msh6,0.2277914408247695
Wnt5a,0.2276083434525126
Sox2,0.22745294195692273
Gja1,0.22740727601130015
Cdh4,0.22740727601130015
Wnt3,0.22738901476694046
Cacybp,0.22734337448458186
Fat1,0.22727950886047912
Lef1,0.22724303032603396
Lrp5,0.2272065634993749
Dkk1,0.2271883344747039
Hgf,0.2271427747076332
Tcf7l2,0.227097233209777
Smad1,0.22708812710154452
Fer,0.22706991707571544
Tcf7l1,0.22704260751224417
Tcf4,0.22704260751224417
Wnt3a,0.22704260751224417
Map2k7,0.22703350578414186
Sox6,0.22702440478575397
Ndufs3,0.22696981411451664
Fzd5,0.22696981411451664
Fzd4,0.22696981411451664
Fzd1,0.22696981411451664
Fzd2,0.22696981411451664
Fzd9,0.22696981411451664
Sfrp1,0.22696981411451664
Vinac1,0.22693343491687046
Cdh11,0.22693343491687046
Tcf7,0.22693343491687046
Dsp,0.22693343491687046
Apc2,0.22693343491687046
Ube3a,0.22691524969089746
Sp7,0.22691524969089746
Wnt4,0.22688797731602975
Wnt2,0.22688797731602975
Wnt8a,0.22688797731602975
Flt3l,0.22686071149597095
Krit1,0.226842537922992
Lrrk2,0.2268152830223645
Lrrfip1,0.22676987273906538
Tle1,0.2266972540943647
Tle3,0.2266972540943647
Pitx2,0.2266972540943647
Tax1bp3,0.2266972540943647
Tnik,0.2266972540943647
Ptprb,0.2266972540943647
Csnk2a1,0.2266972540943647
Sox4,0.2266972540943647
Fbxw11,0.2266972540943647
Pygo2,0.2266972540943647
Axin2,0.2266972540943647
Cby1,0.2266972540943647
Cdh22,0.2266972540943647
Ptprm,0.2266972540943647
Cdh15,0.2266972540943647
Nlk,0.2266972540943647
Pygo1,0.2266972540943647
Magi3,0.2266972540943647
Lgr5,0.2266972540943647
Dact1,0.2266972540943647
Tbl1x,0.2266972540943647
Magi2,0.2266972540943647
Gjb1,0.2266972540943647
Sirt2,0.2266972540943647
Tle4,0.2266972540943647
Siah1a,0.2266972540943647
Csnk1a1,0.2266972540943647
Bcl9,0.2266972540943647
Csnk2b,0.2266972540943647
Adgra2,0.2266972540943647
Tbl1xr1,0.2266972540943647
Cdh17,0.2266972540943647
Btrc,0.2266972540943647
Dvl1,0.2266972540943647
Ctbp1,0.2266972540943647
Klf4,0.2266972540943647
Amer1,0.2266972540943647
Dvl2,0.2266972540943647
Sox17,0.2266972540943647
