gene,Acute-log10(padj),Pubchem_CID,Name,np_score_mean_by_name,gene_count_by_name
Myc,9.178450143282888,2836606,"4-(7-Nitro-benzo[1,2,5]oxadiazol-4-ylamino)-benzoic acid",21.593615377069902,2
Myc,9.178450143282888,2836600,"N-2-Biphenylyl-7-nitro-2,1,3-benzoxadiazol-4-amine",16.215575497417902,1
Myc,9.178450143282888,46898027,"(Z)-3,4,3',5'-Tetramethoxystilbene",16.215575497417902,1
Cyp1b1,4.693591142163589,5757,Estradiol,15.741231403360743,7
Cyp1b1,4.693591142163589,5870,Estrone,15.50390160870308,2
Slc7a11,6.861463316787722,5862,Cysteine,15.047765013538601,2
Cyp1b1,4.693591142163589,6683,Purpurin,14.185659636313325,4
Kit,2.6755309309739466,118687517,4-[(3-Amino-6-bromoisoquinolin-4-yl)diazenyl]benzenecarboximidamide,13.88547539913765,2
Gpr55,2.5539955251878084,3598171,1-[3-[(2-Methoxyphenyl)sulfamoyl]-4-morpholin-4-ylphenyl]-3-(2-morpholin-4-ylethyl)thiourea,13.8266768313663,3
Cyp1b1,4.693591142163589,440735,Eriodictyol,13.762517070860264,3
Kit,2.6755309309739466,10386217,"4-(6,7-dimethoxyquinazolin-4-yl)-N-thiophen-3-ylpiperazine-1-carboxamide",13.620225154960949,2
Gpr55,2.5539955251878084,658816,"N-(1-butyl-3-cyanopyrrolo[3,2-b]quinoxalin-2-yl)propanamide",13.48618489618935,2
Gpr55,2.5539955251878084,4764,Phenolphthalein,13.48618489618935,2
Kcnk2,2.489637105730492,3372,Fluphenazine,13.455002338682533,2
Kit,2.6755309309739466,10302451,Saracatinib,13.181303497342235,6
Kit,2.6755309309739466,10302451,Saracatinib,13.181303497342235,6
Gpr55,2.5539955251878084,3727742,"(1-Amino-7,8,8-trimethyl-5-morpholin-4-yl-6,9-dihydrothieno[2,3-c][2,7]naphthyridin-2-yl)-(4-bromophenyl)methanone",13.066948036715141,4
Il6,3.514560510858165,126639132,"(S)-7-[4-(3-cyano-2-hydroxypropyl)oxy-2-methoxyphenyl]-8-(5-fluoro-2-methyl-phenoxymethyl)-1,3,3-trimethyl-3,4-dihydro-1H-quinoxalin-2-one",13.046946059127,1
Il6,3.514560510858165,126639070,"7-[4-(3-t-butoxycarbonyl-2-hydroxypropyl)oxy-2-methoxyphenyl]-8-(5-fluoro-2-methylphenoxymethyl)-1,3,3-trimethyl-3,4-dihydro-1H-quinoxalin-2-one",13.046946059127,1
Il6,3.514560510858165,57672003,"8-(5-Fluoro-2-methylphenoxymethyl)-7-(5-hydroxymethyl-2-methoxyphenyl)-1,3,3-trimethyl-3,4-dihydro-1H-quinoxalin-2-one",13.046946059127,1
Il6,3.514560510858165,54768030,"N-[2-(4-ethylanilino)-1,3-benzoxazol-5-yl]benzamide",13.046946059127,1
Il6,3.514560510858165,126639109,"(S)-7-[4-(2,4-dihydroxybutyl)oxy-2-methoxyphenyl]-8-(5-fluoro-2-methyl-phenoxymethyl)-1,3,3-trimethyl-3,4-dihydro-1H-quinoxalin-2-one",13.046946059127,1
Il6,3.514560510858165,126639142,"(S)-8-(5-fluoro-2-methylphenoxymethyl)-7-[4-(2-hydroxypropyl)oxy-2-methoxy-phenyl]-1,3,3-trimethyl-3,4-dihydro-1H-quinoxalin-2-one",13.046946059127,1
Il6,3.514560510858165,57671974,"8-(5-Fluoro-2-methylphenoxymethyl)-7-(5-hydroxy-2-methoxyphenyl)-1,3,3-trimethyl-3,4-dihydro-1h-quinoxalin-2-one",13.046946059127,1
Il6,3.514560510858165,126639130,"(R)-7-[4-(3-cyano-2-hydroxypropyl)oxy-2-methoxyphenyl]-8-(5-fluoro-2-methyl-phenoxymethyl)-1,3,3-trimethyl-3,4-dihydro-1H-quinoxalin-2-one",13.046946059127,1
Il6,3.514560510858165,135183864,"ethyl (2R)-3-[4-[5-[(5-fluoro-2-methylphenoxy)methyl]-2,2,4-trimethyl-3-oxo-1H-quinoxalin-6-yl]-3-methoxyphenoxy]-2-hydroxypropanoate",13.046946059127,1
Il6,3.514560510858165,137656890,"(5S)-5-[[(3aS,8bR)-8b-hydroxy-2,3a-dihydro-1H-furo[2,3-b]indol-4-yl]methyl]-2-butyl-3,5-dimethyl-4-methylidenecyclopent-2-en-1-one",13.046946059127,1
Il6,3.514560510858165,126639173,"(R)-8-(5-fluoro-2-methylphenoxymethyl)-7-[4-(2-hydroxybutyl)oxy-2-methoxyphenyl]-1,3,3-trimethyl-3,4-dihydro-1H-quinoxalin-2-one",13.046946059127,1
Il6,3.514560510858165,54768028,"N2-(4-ethylphenyl)benzo[d]oxazole-2,5-diamine",13.046946059127,1
Kit,2.6755309309739466,17747492,"4-N-[3-chloro-4-[(3,5-difluorophenyl)methoxy]phenyl]-5-[(E)-methoxyiminomethyl]pyrimidine-4,6-diamine",13.0219258428026,3
Kit,2.6755309309739466,77980438,"4-(dimethylamino)-N-(6-phenylmethoxy-2,3,3a,4,5,6,7,7a-octahydro-1H-indazol-3-yl)benzamide",12.9801595667336,1
Kit,2.6755309309739466,118696919,"N-[(S)-(4-chlorophenyl)-cyclopropylmethyl]-1-[6-(1-methylpyrazol-4-yl)pyrrolo[2,1-f][1,2,4]triazin-4-yl]azetidine-3-carboxamide",12.9801595667336,1
Kit,2.6755309309739466,118696942,"1-[6-[4-(2-hydroxypropan-2-yl)phenyl]pyrrolo[2,1-f][1,2,4]triazin-4-yl]-3-methyl-N-[(4-methylphenyl)methyl]azetidine-3-carboxamide",12.9801595667336,1
Kit,2.6755309309739466,118696954,"N-[(4-fluorophenyl)methyl]-1-[6-[4-[(2-methylpropan-2-yl)oxy]phenyl]pyrrolo[2,1-f][1,2,4]triazin-4-yl]azetidine-3-carboxamide",12.9801595667336,1
Kit,2.6755309309739466,101879052,(3Z)-3-[[4-[4-(3-chloropropanoyl)piperazin-1-yl]phenyl]methylidene]-1H-indol-2-one,12.9801595667336,1
Kit,2.6755309309739466,77962355,"4-(4-methylpiperazin-1-yl)-N-[6-[(3-phenoxyphenyl)methoxy]-2,3,3a,4,5,6,7,7a-octahydro-1H-indazol-3-yl]benzamide",12.9801595667336,1
Kit,2.6755309309739466,78076793,"4-(4-methyl-4-oxidopiperazin-4-ium-1-yl)-N-[6-[2-[[4-(trifluoromethyl)phenyl]methoxy]ethoxy]-2,3,3a,4,5,6,7,7a-octahydro-1H-indazol-3-yl]benzamide",12.9801595667336,1
Kit,2.6755309309739466,78076794,"4-(4-methyl-4-oxidopiperazin-4-ium-1-yl)-N-[6-(2-phenylmethoxyethoxy)-2,3,3a,4,5,6,7,7a-octahydro-1H-indazol-3-yl]benzamide",12.9801595667336,1
Kit,2.6755309309739466,137554066,N-[6-(2-Benzyloxy-ethoxy)-H-indazol-3-yl]-4-morpholin-4-yl-benzamide,12.9801595667336,1
Kit,2.6755309309739466,77962354,"N-[6-(1-benzylpiperidin-4-yl)oxy-2,3,3a,4,5,6,7,7a-octahydro-1H-indazol-3-yl]-4-(4-methylpiperazin-1-yl)benzamide",12.9801595667336,1
Kit,2.6755309309739466,101879051,(3Z)-3-[[4-(4-prop-2-enoylpiperazin-1-yl)phenyl]methylidene]-1H-indol-2-one,12.9801595667336,1
