gene,Acute-log10(padj),Pubchem_CID,Name,np_score_mean_by_name,gene_count_by_name
Alox12,2.679843104070761,2722,Chloroxine,14.825983859279832,2
Xdh,1.276544691801414,207753,"1-(3,5-diphenyl-4,5-dihydro-1H-pyrazol-1-yl)ethanone",14.049858092813675,4
Xdh,1.276544691801414,5280961,Genistein,14.042529137394489,20
Xdh,1.276544691801414,5280961,Genistein,14.042529137394489,20
Mme,1.480206784518489,54589400,N-(Carboxymethyl)-N-(3-Phenylpropyl)glycyl-N-Methyl-L-Histidinamide,13.856065113881499,5
Ptprr,5.922646084299688,7158830,"N-(4-fluoro-1,3-benzothiazol-2-yl)-5-(4-methoxyphenyl)-1,3,4-oxadiazol-2-amine",13.7894387693833,5
Alox12,2.679843104070761,4534,Nordihydroguaiaretic acid,13.677390411599214,6
Ddc,1.7280785879130705,5154,Sanguinarium,13.321871014579125,4
Xdh,1.276544691801414,190,Adenine,13.300253177630324,3
Xdh,1.276544691801414,190,Adenine,13.300253177630324,3
Xdh,1.276544691801414,5281708,Daidzein,13.218449261362501,6
Xdh,1.276544691801414,5281708,Daidzein,13.218449261362501,6
Alox12,2.679843104070761,5281708,Daidzein,13.218449261362501,6
Xdh,1.276544691801414,71508609,"(2E,6E)-2-[(2-chlorophenyl)methylidene]-6-[(3,5-dimethoxyphenyl)methylidene]cyclohexan-1-one",13.046982834014132,2
Xdh,1.276544691801414,71508717,"(2E,6E)-2-[(3,5-dimethoxyphenyl)methylidene]-6-[(4-methylsulfonylphenyl)methylidene]cyclohexan-1-one",13.046982834014132,2
Xdh,1.276544691801414,71508644,"(2E,6E)-2-[(3-bromophenyl)methylidene]-6-[(3,5-dimethoxyphenyl)methylidene]cyclohexan-1-one",13.046982834014132,2
Xdh,1.276544691801414,71508645,"(2E,6E)-2-[(4-bromophenyl)methylidene]-6-[(3,5-dimethoxyphenyl)methylidene]cyclohexan-1-one",13.046982834014132,2
Xdh,1.276544691801414,71508608,"(2E,6E)-2-[(3-chlorophenyl)methylidene]-6-[(3,5-dimethoxyphenyl)methylidene]cyclohexan-1-one",13.046982834014132,2
Aldh1a7,1.5678708652649924,4688,Pargyline,12.597356066128727,4
Alox12,2.679843104070761,44142338,N-[(4-chloro-1-hydroxy-2-naphthyl)-(2-furyl)methyl]acetamide,12.58723324588105,2
Xdh,1.276544691801414,11580635,"1-(5-(3,4-dimethoxyphenyl)-3-phenyl-4,5-dihydro-1H-pyrazol-1-yl)ethanone",12.253271619347725,3
Xdh,1.276544691801414,5281222,Butein,12.240105600328874,5
Xdh,1.276544691801414,5280569,Daphnetin,12.140605081673032,3
Pde2a,3.9991053068376887,3973,2-(4-Morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,12.130657826229164,14
Ddc,1.7280785879130705,18990395,"3-(3,4-Dihydroxy-5-nitro-phenyl)-1-phenyl-propenone",12.0286379454586,5
Ddc,1.7280785879130705,18990372,"3-(3,4-Dihydroxy-5-nitro-phenyl)-1-(3,4,5-trimethoxy-phenyl)-propenone",12.0286379454586,5
Ddc,1.7280785879130705,21632,"1-Propanone, 1-(3,4-dihydroxyphenyl)-2-methyl-",12.0286379454586,5
Acacb,3.7102029388837288,16747776,"3,5-dichloro-2-hydroxy-N-(4-methoxy-[1,1'-biphenyl]-3-yl)benzenesulfonamide",11.958778507995259,3
Ddc,1.7280785879130705,71524055,"2,8-Dimethoxy-5-methylphenanthridin-5-ium;chloride",11.9191856860754,1
Ddc,1.7280785879130705,444261,Phospho-5'-pyridoxyl tyrosine,11.9191856860754,1
Ddc,1.7280785879130705,90643940,"8,9-Dimethoxy-2,5-dimethylphenanthridin-5-ium;chloride",11.9191856860754,1
Ddc,1.7280785879130705,90643944,2-Fluoro-8-methoxy-5-methylphenanthridin-5-ium;chloride,11.9191856860754,1
Ddc,1.7280785879130705,90643938,"2-Chloro-8,9-dimethoxy-5-methylphenanthridin-5-ium;chloride",11.9191856860754,1
Ddc,1.7280785879130705,71524092,8-Methoxy-5-methylphenanthridin-5-ium-2-ol;chloride,11.9191856860754,1
Ddc,1.7280785879130705,53665297,"(2S)-3-(3,4-dihydroxyphenyl)-2-[[3-hydroxy-2-methyl-5-(phosphonooxymethyl)pyridin-4-yl]methylamino]propanoic acid",11.9191856860754,1
Ddc,1.7280785879130705,90643942,8-Methoxy-5-methylphenanthridin-5-ium;chloride,11.9191856860754,1
Ddc,1.7280785879130705,71524058,"2,8,9-Trimethoxy-5-methylphenanthridin-5-ium;chloride",11.9191856860754,1
Ddc,1.7280785879130705,90643936,"2-Fluoro-8,9-dimethoxy-5-methylphenanthridin-5-ium;chloride",11.9191856860754,1
Ddc,1.7280785879130705,21144709,"8,9-Dimethoxy-5-methylphenanthridin-5-ium chloride",11.9191856860754,1
Ddc,1.7280785879130705,90643946,2-Chloro-8-methoxy-5-methylphenanthridin-5-ium;chloride,11.9191856860754,1
Ddc,1.7280785879130705,149257,"Phenanthridinium, 5-methyl-, chloride",11.9191856860754,1
Ddc,1.7280785879130705,90643948,"8-Methoxy-2,5-dimethylphenanthridin-5-ium;chloride",11.9191856860754,1
Ddc,1.7280785879130705,4501,Nitidine,11.9191856860754,1
Xdh,1.276544691801414,5280442,Acacetin,11.889511159737799,6
Xdh,1.276544691801414,5280863,Kaempferol,11.8155296336188,14
Ddc,1.7280785879130705,2703,Chelerythrine,11.814986673851962,7
Xdh,1.276544691801414,5320287,Ombuin,11.69328638708755,2
Xdh,1.276544691801414,5281614,Fisetin,11.681338363642482,6
Alox12,2.679843104070761,5281614,Fisetin,11.681338363642482,6
Xdh,1.276544691801414,5280443,Apigenin,11.68089933902037,21
Xdh,1.276544691801414,5280443,Apigenin,11.68089933902037,21
Xdh,1.276544691801414,5280443,Apigenin,11.68089933902037,21
Itpr3,1.9941473708647968,439456,"d-Myo-inositol-1,4,5-triphosphate",11.62295907046665,2
Xdh,1.276544691801414,4990817,Merbarone,11.569797597541449,2
Xdh,1.276544691801414,5281703,Wogonin,11.557996449082017,3
Alox12,2.679843104070761,91933034,"(28E)-5,16,21,32-tetrabromo-4,20-dihydroxy-12,25-dinitroso-2,18-dioxa-10,27-diazapentacyclo[28.2.2.214,17.13,7.119,23]octatriaconta-1(32),3,5,7(38),14,16,19,21,23(35),28,30,33,36-tridecaene-11,26-dione",11.462183976288111,17
Xdh,1.276544691801414,44431346,(2S)-2-(hydroxymethyl)-2-methylchromen-6-ol,11.442050618636067,3
Xdh,1.276544691801414,5281616,Galangin,11.420305339258933,5
Gstm1,3.279827049998176,118707374,(2S)-2-amino-5-[[(2R)-3-[4-[(E)-[[(2S)-2-[[3-[[(2S)-1-[(2E)-2-[[4-[(2R)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropyl]sulfanyl-3-nitrophenyl]methylidene]hydrazinyl]-1-oxopropan-2-yl]carbamoyl]benzoyl]amino]propanoyl]hydrazinylidene]methyl]-2-nitrophenyl]sulfanyl-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,11.407407021999,1
Xdh,1.276544691801414,8468,Vanillic Acid,11.397976232198777,24
Cxcl12,3.4474754350290677,637760,Chalcone,11.368514305597765,8
Mme,1.480206784518489,4369359,Sitagliptin,11.367763157894725,3
Alox12,2.679843104070761,5281671,Morusin,11.365282378405448,4
Xdh,1.276544691801414,165506,4'-Hydroxyflavanone,11.3469971775887,2
Xdh,1.276544691801414,7456,Methylparaben,11.3469971775887,2
Xdh,1.276544691801414,5281670,Morin,11.34325861926962,5
Alox12,2.679843104070761,5281650,Mangostin,11.319552594117981,5
Xdh,1.276544691801414,637542,p-Coumaric acid,11.318397268341574,4
Xdh,1.276544691801414,5281672,Myricetin,11.302131778634532,9
Xdh,1.276544691801414,72,"3,4-Dihydroxybenzoic acid",11.2923998079398,2
Alox12,2.679843104070761,44142345,N-[1-(5-chloro-8-hydroxyquinolin-7-yl)-2-methylpropyl]acetamide,11.288741402987467,3
Xdh,1.276544691801414,5281295,Sulfuretin,11.279062051088092,14
Alox12,2.679843104070761,5393152,"3,7-Dihydroxyflavone",11.26658659946145,2
Gstm1,3.279827049998176,91930480,"[(4S,5S)-5-decoxy-4-hydroxy-2,3-dioxocyclohexyl]methyl acetate",11.25666171931885,2
Gstm1,3.279827049998176,56926918,"[(2R,3R,4aR,8S,8aS)-8-decoxy-2,3-dimethoxy-2,3-dimethyl-5-oxo-8,8a-dihydro-4aH-1,4-benzodioxin-6-yl]methyl acetate",11.25666171931885,2
Gstm1,3.279827049998176,56926917,"[(2R,3R,4aR,8S,8aS)-2,3-dimethoxy-2,3-dimethyl-5-oxo-8-[(4-phenylphenyl)methoxy]-8,8a-dihydro-4aH-1,4-benzodioxin-6-yl]methyl acetate",11.25666171931885,2
Gstm1,3.279827049998176,56926809,"[(2R,3R,4aR,8S,8aS)-8-hexoxy-2,3-dimethoxy-2,3-dimethyl-5-oxo-8,8a-dihydro-4aH-1,4-benzodioxin-6-yl]methyl acetate",11.25666171931885,2
Gstm1,3.279827049998176,56926916,"[(2R,3R,4aR,8S,8aS)-2,3-dimethoxy-2,3-dimethyl-5-oxo-8-[(E)-3-phenylprop-2-enoxy]-8,8a-dihydro-4aH-1,4-benzodioxin-6-yl]methyl acetate",11.25666171931885,2
Gstm1,3.279827049998176,56926807,"[(2R,3R,4aR,8S,8aS)-2,3-dimethoxy-2,3-dimethyl-8-(naphthalen-2-ylmethoxy)-5-oxo-8,8a-dihydro-4aH-1,4-benzodioxin-6-yl]methyl acetate",11.25666171931885,2
Gstm1,3.279827049998176,56926915,"[(2R,3R,4aR,8S,8aS)-8-[(2E)-3,7-dimethylocta-2,6-dienoxy]-2,3-dimethoxy-2,3-dimethyl-5-oxo-8,8a-dihydro-4aH-1,4-benzodioxin-6-yl]methyl acetate",11.25666171931885,2
Gstm1,3.279827049998176,56926808,"[(2R,3R,4aR,8S,8aS)-2,3-dimethoxy-2,3-dimethyl-8-(3-methylbut-2-enoxy)-5-oxo-8,8a-dihydro-4aH-1,4-benzodioxin-6-yl]methyl acetate",11.25666171931885,2
Alox12,2.679843104070761,56641761,(4-Propan-2-ylphenyl) 3-[1-(6-chloropyridazin-3-yl)-5-(4-methylphenyl)pyrazol-3-yl]propanoate,11.254652679721767,3
Alox12,2.679843104070761,56642537,(4-Propan-2-ylphenyl) 3-[5-(4-methylphenyl)-1-quinolin-2-ylpyrazol-3-yl]propanoate,11.254652679721767,3
Alox12,2.679843104070761,56642536,Ethyl 1-[3-[5-(4-methylphenyl)-1-quinolin-2-ylpyrazol-3-yl]propanoyl]piperidine-4-carboxylate,11.254652679721767,3
