gene,Subacute-log10(padj),np_score_1000,color,Pubchem_CID,Name
Kif11,4.450332649484003,19.9919714603141,blue,11232325,N-[4'-(trifluoromethyl)-4-biphenylyl]sulfamide
Kif11,4.450332649484003,19.9919714603141,blue,11720191,"1-[(3R,3aR)-3-[3-(4-acetylpiperazin-1-yl)propyl]-8-chloro-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11654962,"1-[(3R,3aR)-8-methyl-3-(3-morpholin-4-ylpropyl)-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11634073,"1-[3-[(3R,3aR)-2-acetyl-8-fluoro-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-3-yl]propyl]-1,4-diazepan-5-one"
Kif11,4.450332649484003,19.9919714603141,blue,11624832,"1-[(3R,3aR)-8-fluoro-3-(3-hydroxypropyl)-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11417613,N-{4''-[(trifluoromethyl)sulfonyl]-4-biphenylyl}methanesulfonamide
Kif11,4.450332649484003,19.9919714603141,blue,11630239,N-(4'-isopropyl-4-biphenylyl)urea
Kif11,4.450332649484003,19.9919714603141,blue,11545686,"1-[(3R,3aR)-3-[3-(dimethylamino)propyl]-8-fluoro-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11494867,"1-[(3R,3aR)-3-[3-(dimethylamino)propyl]-8-methyl-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11582321,"1-[(3R,3aR)-8-chloro-3-(3-dimethylamino-propyl)-3-phenyl-3a,4-dihydro-3H-5-oxa-1,9b-diaza-cyclopenta[a]naphthalen-2-yl]-ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11662966,"1-{(3r,3ar)-3-[3-(4-Acetylpiperazin-1-Yl)propyl]-8-Fluoro-3-Phenyl-3a,4-Dihydro-3h-Pyrazolo[5,1-C][1,4]benzoxazin-2-Yl}ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,23625979,4-(Trifluoromethyl)-4-biphenylsulfoamide
Kif11,4.450332649484003,19.9919714603141,blue,11598137,"1-[3-[(3R,3aR)-2-acetyl-8-fluoro-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-3-yl]propyl]-4-methyl-1,4-diazepan-5-one"
Kif11,4.450332649484003,19.9919714603141,blue,9877863,4-(Trifluoromethyl)biphenyl
Kif11,4.450332649484003,19.9919714603141,blue,11666731,"1-[(3R,3aR)-8-fluoro-3-phenyl-3a,4-dihydro-3H-pyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,23626141,N-[4''-(trifluoroacetyl)-4-biphenylyl]urea
Kif11,4.450332649484003,19.9919714603141,blue,44442301,"1-[(R)-4-[3-(4-acetyl-piperazin-1-yl)-propyl]-1-(2,5-difluoro-phenyl)-4-phenyl-4,5-dihydro-1H-pyrazol-3-yl]-ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11771970,N-[3-fluoro-4''-(trifluoromethyl)-4-biphenylyl]sulfamide
Kif11,4.450332649484003,19.9919714603141,blue,11473399,"N,N-dimethyl-N''-[4''-(trifluoromethyl)-4-biphenylyl]sulfamide"
Kif11,4.450332649484003,19.9919714603141,blue,11623295,N-[4''-(trifluoromethyl)-4-biphenylyl]urea
Kif11,4.450332649484003,19.9919714603141,blue,44442302,"1-[(3R,3aR)-3-phenyl-3a,4-dihydro-3H-pyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11709173,N-[3-Fluoro-4'-(trifluoromethyl)-4-biphenylyl]urea
Kif11,4.450332649484003,19.9919714603141,blue,44430578,"(S)-2-((S)-3-amino-4,4-difluorobutyl)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide"
Kif11,4.450332649484003,19.9919714603141,blue,54758031,"N-(3-aminopropyl)-N-[1-(3-benzyl-4-oxothieno[3,2-d]pyrimidin-2-yl)propyl]-3-fluoro-4-methylbenzamide"
Kif11,4.450332649484003,19.9919714603141,blue,54757109,"N-(3-aminopropyl)-N-[1-[3-[(3-fluorophenyl)methyl]-4-oxothieno[3,2-d]pyrimidin-2-yl]propyl]-4-methylbenzamide"
Kif11,4.450332649484003,19.9919714603141,blue,11254540,N-(4''-chloro-4-biphenylyl)methanesulfonamide
Kif11,4.450332649484003,19.9919714603141,blue,44435374,"(S)-1-(3-(2,5-difluorophenyl)-5-phenyl-5-(3-(pyrrolidin-1-yl)propyl)-4,5-dihydropyrazol-1-yl)ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11652296,N-[4'-(trifluoromethyl)-4-biphenylyl]thiourea
Kif11,4.450332649484003,19.9919714603141,blue,11473294,N-[3-cyano-4''-(trifluoromethyl)-4-biphenylyl]sulfamide
Kif11,4.450332649484003,19.9919714603141,blue,23625983,N-Methyl-N''-[4''-(trifluoromethyl)-4-biphenylyl]urea
Kif11,4.450332649484003,19.9919714603141,blue,11611859,"1-[(3R,3aR)-8-fluoro-3-(3-morpholin-4-ylpropyl)-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11517739,"1-[(3R,3aR)-8-fluoro-3-phenyl-3-(3-piperazin-1-ylpropyl)-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11244531,N-[3''-fluoro-4''-(trifluoromethyl)-4-biphenylyl]sulfamide
Kif11,4.450332649484003,19.9919714603141,blue,11393385,N-[3-amino-4'-(trifluoromethyl)-4-biphenylyl]sulfamide
Kif11,4.450332649484003,19.9919714603141,blue,11348100,N-[4'-(trifluoromethoxy)-4-biphenylyl]methanesulfonamide
Kif11,4.450332649484003,19.9919714603141,blue,23625981,N-[4''-(trifluoromethyl)-4-biphenylyl]guanidine
Kif11,4.450332649484003,19.9919714603141,blue,23625977,N-methyl-N-[4''-(trifluoromethyl)-4-biphenylyl]methanesulfonamide
Kif11,4.450332649484003,19.9919714603141,blue,11359430,N-[3-methyl-4''-(trifluoromethyl)-4-biphenylyl]sulfamide
Kif11,4.450332649484003,19.9919714603141,blue,11232827,N-[3-hydroxy-4'-(trifluoromethyl)-4-biphenylyl]sulfamide
Kif11,4.450332649484003,19.9919714603141,blue,11280370,"N-[4-(2,2,3,3-tetrafluoro-2,3-dihydro-1,4-benzodioxin-6-yl)-phenyl]sulfamide"
Kif11,4.450332649484003,19.9919714603141,blue,11439836,N-[3'-nitro-4'-(trifluoromethyl)-4-biphenylyl]sulfamide
Kif11,4.450332649484003,19.9919714603141,blue,23626138,N-methyl-1-[4''-(trifluoromethyl)-4-biphenylyl]methanesulfonamide
Kif11,4.450332649484003,19.9919714603141,blue,23626453,N-[3''-(trifluoromethyl)-4-biphenylyl]urea
Kif11,4.450332649484003,19.9919714603141,blue,44430571,"(S)-2-(3-aminopropyl)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide"
Kif11,4.450332649484003,19.9919714603141,blue,44430574,"(S)-4-(2,5-difluorophenyl)-2-(3-(2-fluoroethylamino)propyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide"
Kif11,4.450332649484003,19.9919714603141,blue,44430573,"(S)-4-(2,5-difluorophenyl)-2-(3-(ethylamino)propyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide"
Kif11,4.450332649484003,19.9919714603141,blue,44430575,"(S)-2-(3-(2,2-difluoroethylamino)propyl)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide"
Kif11,4.450332649484003,19.9919714603141,blue,44430578,"(S)-2-((S)-3-amino-4,4-difluorobutyl)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide"
Kif11,4.450332649484003,19.9919714603141,blue,44435376,"(S)-1-(3-(2,5-difluorophenyl)-5-(3-((2-methoxyethyl)(methyl)amino)propyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,44430571,"(S)-2-(3-aminopropyl)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide"
Kif11,4.450332649484003,19.9919714603141,blue,23625984,"N,N-dimethyl-N''-[4''-(trifluoromethyl)-4-biphenylyl]urea"
Kif11,4.450332649484003,19.9919714603141,blue,11290427,N-methyl-N-[4'-(trifluoromethyl)-4-biphenylyl]sulfamide
Kif11,4.450332649484003,19.9919714603141,blue,23626454,N-[4''-(ethylsulfonyl)-3-fluoro-4-biphenylyl]urea
Kif11,4.450332649484003,19.9919714603141,blue,23625978,N-methyl-4'-(trifluoromethyl)-4-biphenylamine
Kif11,4.450332649484003,19.9919714603141,blue,11244423,N-[3'-amino-4'-(trifluoromethyl)-4-biphenylyl]sulfamide
Kif11,4.450332649484003,19.9919714603141,blue,11848366,"1-((R)-5-((S)-3-amino-2-fluoropropyl)-3-(2,5-difluorophenyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,44435375,"1-((S)-3-(2,5-difluorophenyl)-5-(3-((S)-3-fluoropyrrolidin-1-yl)propyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,44435373,"1-((S)-5-(3-((1R,4R)-5-oxa-2-aza-bicyclo[2.2.1]heptan-2-yl)propyl)-3-(2,5-difluorophenyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11539390,"1-((S)-5-(3-(2-aza-bicyclo[2.2.1]heptan-2-yl)propyl)-3-(2,5-difluorophenyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,44435350,"(S)-1-(5-(3-aminopropyl)-3-(2,5-difluorophenyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,15604796,"(5S)-5-(3-aminopropyl)-3-(2,5-difluorophenyl)-N,N-dimethyl-5-phenyl-4,5-dihydro-1H-pyrazole-1-carboxamide"
Kif11,4.450332649484003,19.9919714603141,blue,44430571,"(S)-2-(3-aminopropyl)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide"
Kif11,4.450332649484003,19.9919714603141,blue,11668820,"(S)-1-(3-(2,5-difluorophenyl)-5-(3-(3-fluoroazetidin-1-yl)propyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,15604796,"(5S)-5-(3-aminopropyl)-3-(2,5-difluorophenyl)-N,N-dimethyl-5-phenyl-4,5-dihydro-1H-pyrazole-1-carboxamide"
Kif11,4.450332649484003,19.9919714603141,blue,11718862,"(S)-1-(3-(2,5-difluorophenyl)-5-(3-morpholinopropyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone"
Kif11,4.450332649484003,19.9919714603141,blue,11547260,"1-[(S)-5-[3-(4-acetyl-piperazin-1-yl)-propyl]-3-(2,5-difluoro-phenyl)-5-phenyl-4,5-dihydro-pyrazol-1-yl]-ethanone"
