gene,Subacute-log10(padj),Pubchem_CID,Name,np_score_mean_by_name,gene_count_by_name
Bcl2l1,1.3131358098906096,1637842,"2-[(5Z)-5-[1-[2-(3-bromoanilino)-2-oxoethyl]-2-oxoindol-3-ylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]ethanesulfonic acid",18.361522515941452,2
Bcl2l1,1.3131358098906096,72715984,"(R)-3-(4-Bromobenzylthio)-2-(3-(3-((2,4-Difluorophenyl)ethynyl)benzoyl)-3-Propylureido)propanoic Acid",16.711475124459902,1
Bcl2l1,1.3131358098906096,73347484,"6-[(5Z)-5-(1,3-benzothiazol-2-ylhydrazinylidene)-6,7,8,9-tetrahydrobenzo[7]annulen-3-yl]pyridine-2-carboxylic acid",16.711475124459902,1
Bcl2l1,1.3131358098906096,53473391,"3-(3,4-dichlorophenyl)-N-naphthalen-2-ylsulfonylbenzamide",16.711475124459902,1
Bcl2l1,1.3131358098906096,53473390,"3-(3,4-dimethoxyphenyl)-N-(4-phenoxyphenyl)sulfonylbenzamide",16.711475124459902,1
Bcl2l1,1.3131358098906096,71297208,N-(3-(5-(1-(2-(Benzo[d]thiazol-2-yl)hydrazono)ethyl)furan-2-yl)phenylsulfonyl)-6-phenylhexanamide,16.711475124459902,1
Bcl2l1,1.3131358098906096,16109062,"N-[(4-{[(2R)-4-(dimethylamino)-1-(phenylsulfanyl)butan-2-yl]amino}-3-nitrobenzene)sulfonyl]-4-[4-(2,2-dimethylpropyl)-4-methoxypiperidin-1-yl]benzamide",16.711475124459902,1
Bcl2l1,1.3131358098906096,684154,4-[[[2-(Naphthalen-1-ylamino)acetyl]hydrazinylidene]methyl]benzoic acid,16.711475124459902,1
Bcl2l1,1.3131358098906096,690617,7-Nitro-5-(1-pyrrolidinylmethyl)-8-quinolinol,16.711475124459902,1
Bcl2l1,1.3131358098906096,44182311,4-[4-(Biphenyl-3-Ylmethyl)piperazin-1-Yl]-N-{[4-({(1r)-3-(Dimethylamino)-1-[(Phenylsulfanyl)methyl]propyl}amino)-3-Nitrophenyl]sulfonyl}benzamide,16.711475124459902,1
